Drama;Sports;Reality;Entertainment;Documentary;Kids;Family;Animals;News;Movie;Music;Teen;Science & Technology;Health & Fitness;Religion;Shopping;Miscellaneous
Action & Adventure;Sports talk;Legal;Action & Adventure;Nature;Cartoon & Animation;Children's/Family Entertainment;Pets;Nature;Thriller;Western;Comedy;Sci-Fi & Fantasy;Health;Fundraiser/Telethon;Consumer;Anthology
Fantasy;Basketball;Outdoors;Fantasy;Crime;Animated;Home & How-To;Wild animals;Real Estate;Military & War;Local;Education;Aviation;Fitness;Religion;Fashion;Special
Miniseries;Outdoors;Talk;Martial Arts;History & Biography;Comedy;Home & Garden;Ocean creatures;Crime;Legal;Musical;Romance;Environment;Health & Fitness;;Thanksgiving;Independent
Crime;Martial Arts;Travel;Travel;Medical;Education;Animated;Horses and farm animals;Medical;Western;Hip-Hop & Rap Music;Teens;Science and nature;;;Valentine's Day;Variety
Thriller;Tennis;Food;Sitcom;Military & War;Holiday;Medical;Animals;Newscast;Horror;Musical;Mystery;Robots;;;Halloween;How-To
Military & War;SportingEvent;Education;Comedy;Outdoors;Educational;Comedy;;Weather;Mystery & Suspense;Awards;Science fiction;Discovery;;;Parenting;Boat
Horror;Football;Game Show & Contest;Game Show & Contest;History;Anime;Education;;Local;Mystery;Pop Music;Musical;Science & Technology;;;Cars and trucks;Courtroom
Local;Soccer;Business & Finance;Fishing;Biography;Preschool;Home improvement;;Talk;Comedy;Gospel Music;Educational;Computers;;;Holidays;Parade
Mystery & Suspense;Sports non-event;Pets;Interview;Politics & Government;little kids (ages 5-7);Educational;;Politics & Government;Romance;R&B Music;Anime;;;;Holiday;Crafts
Travel;Golf;Weddings;Fashion;Auto;big kids (ages 8-9);Pets;;Public Affairs;Docudrama;Country Music;Romantic comedy;;;;Shopping;Agriculture
Sitcom;Ice Hockey;Auto;Bullfighting;Self improvement;preschoolers (ages 2-4);Weddings;;Business & Finance;Biography;Rock Music;Musical comedy;;;;Collectibles;Bugs
Comedy;Fishing;Self improvement;Standup;Environment;Friendship;Thanksgiving;;Interview;Politics & Government;Heavy Metal Music;Valentine's Day;;;;;Numbers and letters
Romance;Baseball;Auction;Dance;Dinosaurs;Sports and martial arts;Christmas;;Newsmagazine;Paranormal;Folk Music;Halloween;;;;;Trains
Comedy-Drama;Horse Racing;Gay and Lesbian;Poker;Discovery;Cats, dogs, and mice;Valentine's Day;;Environment;Romantic comedy;Jazz Music;teens (ages 13-14);;;;;Quest
